feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_minus_SPY_pct_90,ES_minus_SPY,90,False,ES_fwd_up_180,180,binary,-0.0002845297219031796,0.0002845297219031796,1104953
ES_minus_SPY_pct_20_per_ESvol,ES_minus_SPY,20,True,ES_fwd_up_180,180,binary,0.0002833954338389976,0.0002833954338389976,1120694
SPY_pct_90_per_ESvol,SPY,90,True,ES_fwd_up_360,360,binary,-0.0002830415163282256,0.0002830415163282256,1063084
ES_minus_SPX_pct_5_per_ESvol,ES_minus_SPX,5,True,ES_fwd_up_180,180,binary,0.0002779941170400368,0.0002779941170400368,1124548
ES_minus_SPY_pct_120_per_ESvol,ES_minus_SPY,120,True,ES_fwd_up_60,60,binary,0.00027668163271377897,0.00027668163271377897,1110614
ES_minus_SPY_pct_1_per_ESvol,ES_minus_SPY,1,True,ES_fwd_up_120,120,binary,0.00027661208974771775,0.00027661208974771775,1135927
ES_minus_SPY_pct_5_per_ESvol,ES_minus_SPY,5,True,ES_fwd_up_360,360,binary,0.0002741508254486886,0.0002741508254486886,1084914
SPY_minus_SPX_pct_1_per_ESvol,SPY_minus_SPX,1,True,ES_fwd_up_240,240,binary,0.00026984865133516814,0.00026984865133516814,1113365
ES_minus_SPY_pct_12,ES_minus_SPY,12,False,ES_fwd_ret_180,180,signed,-0.0002674107645820571,0.0002674107645820571,1165048
SPY_pct_360_per_ESvol,SPY,360,True,ES_fwd_up_120,120,binary,-0.00026720604672165674,0.00026720604672165674,1044234
ES_minus_SPY_pct_2_per_ESvol,ES_minus_SPY,2,True,ES_fwd_ret_12,12,signed,0.0002645618064746468,0.0002645618064746468,1190930
ES_minus_SPY_pct_8,ES_minus_SPY,8,False,ES_fwd_ret_120,120,signed,-0.0002638162557883748,0.0002638162557883748,1181880
SPY_minus_SPX_pct_180,SPY_minus_SPX,180,False,ES_fwd_ret_240,240,signed,-0.00026332557341874924,0.00026332557341874924,1105084
ES_minus_SPY_pct_45,ES_minus_SPY,45,False,ES_fwd_ret_180,180,signed,-0.0002605012707338444,0.0002605012707338444,1156369
SPY_minus_SPX_pct_300,SPY_minus_SPX,300,False,ES_fwd_ret_12,12,signed,0.00026005429471702847,0.00026005429471702847,1133488
SPY_pct_300,SPY,300,False,ES_fwd_up_60,60,binary,-0.0002595232587656361,0.0002595232587656361,1066925
SPY_minus_SPX_pct_8,SPY_minus_SPX,8,False,ES_fwd_ret_60,60,signed,-0.00025801037937724325,0.00025801037937724325,1197660
SPY_minus_SPX_pct_45_per_ESvol,SPY_minus_SPX,45,True,ES_fwd_ret_360,360,signed,0.00025709236266374127,0.00025709236266374127,1089706
ES_minus_SPX_pct_3,ES_minus_SPX,3,False,ES_fwd_ret_360,360,signed,-0.00025379913226395383,0.00025379913226395383,1120075
ES_minus_SPY_pct_1_per_ESvol,ES_minus_SPY,1,True,ES_fwd_ret_12,12,signed,-0.0002534470562285191,0.0002534470562285191,1191189
SPY_minus_SPX_pct_5_per_ESvol,SPY_minus_SPX,5,True,ES_fwd_up_240,240,binary,-0.0002524362404967338,0.0002524362404967338,1112340
